会社名,納品先,メーカー型番,メーカー名,品名,数量,単価,金額
○○商事株式会社,本社,NAN,○○㈱,ファイルイエローA4縦2穴3.0cm・5.2cm,5,449,2495
○○商事株式会社,本社,NAN,○○○,ファイルブルーA4縦２穴2.7cm,1,1899,1899
○○商事株式会社,本社,NAN,△○,ファイルブルーA4縦2穴5.0cm,10,449,4490
○○商事株式会社,本社,NAN,□□,ファイルイエローA4縦2穴1.5cm,1,389,389
○○商事株式会社,本社,NAN,○○○,つづり紐100本パック,1,299,299
○○商事株式会社,本社,NAN,□□,ボックスファイルブルーA4横型,3,990,2970
○○商事株式会社,本社,NAN,○□,ボックスファイルブルーA4縦型,3,1499,4497
○○商事株式会社,A支店,NAN,□○○社,持ち出しフォルダーブルーA4,1,699,699
○○商事株式会社,A支店,NAN,○○㈱,個別フォルダークリームA4,1,999,99
○○商事株式会社,A支店,NAN,○○㈱,個別フォルダーピンクA41/3カット,1,549,549
○○商事株式会社,A支店,NAN,□□,粘着メモ見出しイエロー（5.0×1.5cm）,1,749,749
○○商事株式会社,A支店,NAN,□□,粘着メモノートイエロー（7.5×7.5cm）,2,929,1858
○○商事株式会社,A支店,NAN,○○○,レターパッドイエロージュニア7.0mm21行,3,499,1497
○○商事株式会社,B支店,NAN,□○,入金伝票B7横消費税欄無し2穴4行,1,349,349
○○商事株式会社,B支店,NAN,□□社,BC複写領収書小切手判横10冊,1,1779,1779
○○商事株式会社,B支店,NAN,○○㈱,クラフト封筒角形2号70ｇ/㎡,1,699,699
○○商事株式会社,B支店,NAN,○○㈱,パステルカラー封筒ブルー長形3・80ｇ/㎡,1,599,599
○○商事株式会社,B支店,NAN,○□,エンベロップホルダークリアA4横,10,218,2180
○○商事株式会社,B支店,NAN,□○○社,テープカッターブルー,1,399,399
○○商事株式会社,B支店,NAN,□○,デスクマット・オレファン45.0×60.0cm,1,1099,1099
